serialirr 1 0.435 0.441 0.444 0.444 0.457 
serialirr 2 0.953 1.011 1.014 1.017 1.034 
serialirr 4 2.107 2.140 2.177 2.250 2.266 
serialirr 8 3.006 3.133 3.180 3.200 3.204 
serialirr 16 4.355 4.388 4.492 4.560 4.588
gl_wt 1 1.923 1.923 1.937 1.939 1.949 
gl_wt 2 2.199 2.239 2.240 2.260 2.265 
gl_wt 4 2.556 2.579 2.582 2.594 2.660 
gl_wt 8 3.018 3.064 3.459 3.903 4.070 
gl_wt 16 5.317 5.392 5.393 5.396 5.585 
ml_wt 1 3.435 3.439 3.455 3.486 3.874 
ml_wt 2 3.464 3.492 3.511 3.511 3.810 
ml_wt 4 3.125 3.146 3.166 3.232 3.646 
ml_wt 8 2.806 2.835 2.991 3.110 3.186 
htm 1 2.095 2.100 2.106 2.111 2.205 
htm 2 3.881 3.927 3.979 4.010 4.694 
htm 4 5.482 5.555 5.642 5.912 5.917 
htm 8 6.817 6.865 6.955 6.964 7.144 
plain 1 0.276 0.277 0.280 0.281 0.318
